Line#,Date,"Water Content (RXW-SMD 21474793:21154590-1), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124508-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-11), *C, Soap","Water Content (RXW-GP4 21474793:21124508-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-10), *C, Soap","Temperature (RXW-GP4 21474793:21124508-6), *C, Soap","Water Content (RXW-GP4 21474793:21124508-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-8), *C, Soap","Water Content (RXW-GP4 21474793:21124508-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-7), *C, Soap","Temperature (RXW-GP4 21474793:21124508-5), *C, Soap","Temperature (RXW-GP4 21474793:21124508-9), *C, Soap","Water Content (RXW-GP4 21474793:21483427-3), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21483427-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21483427-8), *C, Soap","Temperature (RXW-GP4 21474793:21483427-10), *C, Soap","Temperature (RXW-GP4 21474793:21483427-6), *C, Soap","Temperature (RXW-GP4 21474793:21483427-9), *C, Soap","Temperature (RXW-GP4 21474793:21483427-7), *C, Soap","Water Content (RXW-GP4 21474793:21483427-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21483427-11), *C, Soap","Water Content (RXW-GP4 21474793:21483427-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21483427-5), *C, Soap","Water Content (RXW-GP4 21474793:21124505-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-10), *C, Soap","Temperature (RXW-GP4 21474793:21124505-5), *C, Soap","Temperature (RXW-GP4 21474793:21124505-11), *C, Soap","Temperature (RXW-GP4 21474793:21124505-6), *C, Soap","Water Content (RXW-GP4 21474793:21124505-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124505-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-7), *C, Soap","Temperature (RXW-GP4 21474793:21124505-8), *C, Soap","Temperature (RXW-GP4 21474793:21124502-6), *C, Soap","Temperature (RXW-GP4 21474793:21124502-10), *C, Soap","Temperature (RXW-GP4 21474793:21124502-9), *C, Soap","Water Content (RXW-GP4 21474793:21124502-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-7), *C, Soap","Water Content (RXW-GP4 21474793:21124502-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-11), *C, Soap","Water Content (RXW-GP4 21474793:21124502-4), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124502-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-5), *C, Soap","Temperature (RXW-GP4 21474793:21124502-8), *C, Soap","Temperature (RXW-GP4 21474793:21124506-8), *C, Soap","Temperature (RXW-GP4 21474793:21124506-6), *C, Soap","Water Content (RXW-GP4 21474793:21124506-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124506-9), *C, Soap","Temperature (RXW-GP4 21474793:21124506-5), *C, Soap","Water Content (RXW-GP4 21474793:21124506-1), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124506-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124506-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124506-7), *C, Soap","Temperature (RXW-GP4 21474793:21124506-10), *C, Soap","Temperature (RXW-GP4 21474793:21124506-11), *C, Soap"
1,02/02/23 21:10:00,-0.2281,,21.5,,21.7,,,22.5,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,21.7,21.5,21.2,0.000,20.6,0.000,21.2,0.000,0.000,21.7,21.2,21.0,21.1,0.000,20.0,21.0,0.000,0.000,0.000,21.1,20.5,21.5
2,02/02/23 21:15:00,-0.2132,0.000,19.2,0.000,19.7,20.5,0.000,20.3,0.000,20.5,21.0,20.0,0.000,0.000,19.0,19.7,19.0,19.7,19.0,0.000,20.0,0.000,20.0,0.000,21.5,0.000,20.7,21.1,20.7,21.1,0.000,0.000,21.7,21.5,20.2,20.2,19.7,0.000,19.5,0.000,20.0,0.000,0.000,20.0,19.8,20.5,20.2,0.000,20.2,19.7,0.000,0.000,0.000,20.5,20.7,21.2
3,02/02/23 21:20:00,-0.2281,0.000,19.2,0.000,19.7,20.1,0.000,20.2,0.000,20.1,20.7,19.7,0.000,0.000,18.5,19.5,19.0,19.6,19.0,0.000,19.2,0.000,19.5,0.000,21.1,0.000,20.5,20.8,20.6,20.7,0.000,0.000,21.1,21.1,19.7,19.6,19.2,0.000,19.0,0.000,19.2,0.000,0.000,19.7,19.5,19.8,19.7,0.000,19.7,19.2,0.000,0.000,0.000,19.8,20.2,20.7
4,02/02/23 21:25:00,-0.2281,0.000,22.2,0.000,22.5,21.8,0.000,22.5,0.000,22.1,22.5,22.2,0.000,0.000,19.5,20.0,19.5,20.2,19.5,0.000,19.5,0.000,20.5,0.000,24.2,0.000,23.6,22.2,23.7,22.2,0.000,0.000,23.0,24.0,21.5,20.5,20.6,0.000,20.5,0.000,20.2,0.000,0.000,21.3,21.1,20.3,20.5,0.000,20.0,20.2,0.000,0.000,0.000,20.2,20.2,20.6
5,02/02/23 21:30:00,-0.2281,0.000,21.5,0.000,22.2,22.6,0.000,22.6,0.000,22.7,23.0,22.2,0.000,0.000,20.0,20.5,20.5,21.2,21.0,0.000,19.7,0.000,21.0,0.000,24.0,0.000,23.1,22.6,22.7,22.7,0.000,0.000,23.3,23.6,22.2,20.7,20.7,0.000,20.8,0.000,20.5,0.000,0.000,21.6,21.2,20.6,21.2,0.000,20.5,20.7,0.000,0.000,0.000,20.8,20.6,20.6
6,02/02/23 21:35:00,-0.2308,0.000,18.5,0.000,19.2,19.7,0.000,19.6,0.000,19.8,20.0,19.2,0.000,0.000,19.0,19.2,18.5,19.7,19.5,0.000,19.1,0.000,19.0,0.000,20.2,0.000,20.0,20.3,19.7,20.6,0.000,0.000,20.6,20.2,19.5,19.2,19.0,0.000,18.7,0.000,19.0,0.000,0.000,19.2,18.8,19.6,19.6,0.000,19.5,18.8,0.000,0.000,0.000,19.5,19.7,20.0
7,02/02/23 21:40:00,-0.2281,0.000,15.5,0.000,16.1,16.6,0.000,16.5,0.000,16.7,16.7,16.2,0.000,0.000,17.0,17.5,16.0,18.1,17.5,0.000,17.0,0.000,16.0,0.000,17.5,0.000,17.2,17.7,17.2,17.7,0.000,0.000,18.0,17.5,16.7,17.0,16.2,0.000,16.0,0.000,16.5,0.000,0.000,16.0,16.1,17.6,17.0,0.000,17.6,16.2,0.000,0.000,0.000,17.2,18.1,18.1
8,02/02/23 21:45:00,-0.2254,0.000,15.6,0.000,15.8,16.2,0.000,16.3,0.000,16.3,16.3,16.0,0.000,0.000,17.0,17.0,16.0,17.7,17.0,0.000,16.6,0.000,16.0,0.000,17.0,0.000,16.7,17.5,16.7,17.6,0.000,0.000,17.8,17.5,16.3,16.2,15.6,0.000,15.3,0.000,15.8,0.000,0.000,15.8,15.6,17.5,16.5,0.000,17.2,16.1,0.000,0.000,0.000,16.8,17.7,17.7
9,02/02/23 21:50:00,-0.2779,0.000,15.3,0.000,15.5,15.7,0.000,16.0,0.000,16.0,16.0,15.6,0.000,0.000,16.5,17.0,15.5,17.7,17.0,0.000,16.2,0.000,15.5,0.000,16.6,0.000,16.2,17.0,16.1,17.2,0.000,0.000,17.5,17.1,16.0,16.0,15.6,0.000,15.1,0.000,15.8,0.000,0.000,15.6,15.5,17.6,16.5,0.000,17.5,15.8,0.000,0.000,0.000,17.1,17.6,17.2
10,02/02/23 21:55:00,-0.2476,0.000,15.0,0.000,15.5,15.8,0.000,15.8,0.000,15.8,16.1,15.5,0.000,0.000,17.0,17.1,16.0,18.2,17.5,0.000,16.2,0.000,16.0,0.000,16.2,0.000,15.8,16.5,15.6,16.7,0.000,0.000,17.1,16.7,15.3,16.1,15.6,0.000,14.8,0.000,16.0,0.000,0.000,15.3,15.6,18.0,16.7,0.000,17.7,15.7,0.000,0.000,0.000,17.2,17.6,17.0
