date,dateutc,tempinf,humidityin,baromrelin,baromabsin,tempf,humidity,winddir,winddir_avg10m,windspeedmph,windspdmph_avg10m,windgustmph,maxdailygust,hourlyrainin,eventrainin,dailyrainin,weeklyrainin,monthlyrainin,yearlyrainin,solarradiation,uv,temp1f,humidity1,feelsLike,dewPoint,feelsLike1,dewPoint1,feelsLikein,dewPointin,lastRain,passkey,time,loc,pm25_in,pm25_in_24h,pm25,pm25_24h,lightning_day,batt_lightning,lightning_hour,soilhum3
2022-12-31 01:55:00,1672480500000,66.4,52,29.357,29.357,61.7,67.0,191.0,182.0,2.9,3.4,8.9,30.4,0.0,1.07,0.0,2.22,3.79,3.79,0.0,0.0,61.7,67,61.7,50.63,61.7,50.6,66.4,48.2,2022-12-31T01:32:00.000Z,4ff9378d7a1fcdb79df4ff0cc205611c,1672444800000.0,4ff9378d7a1fcdb79df4ff0cc205611c/daily/1672444800000.json,,,,,,,,
2022-12-31 02:00:00,1672480800000,66.4,52,29.357,29.357,61.9,68.0,151.0,182.0,12.8,3.8,19.5,30.4,0.0,1.07,0.0,2.22,3.79,3.79,0.0,0.0,61.7,67,61.9,51.22,61.7,50.6,66.4,48.2,2022-12-31T01:32:00.000Z,4ff9378d7a1fcdb79df4ff0cc205611c,1672444800000.0,4ff9378d7a1fcdb79df4ff0cc205611c/daily/1672444800000.json,,,,,,,,
2022-12-31 02:05:00,1672481100000,66.4,52,29.351,29.351,61.7,67.0,151.0,149.0,8.7,7.6,28.2,30.4,0.0,1.07,0.0,2.22,3.79,3.79,0.0,0.0,61.5,68,61.7,50.63,61.5,50.8,66.4,48.2,2022-12-31T01:32:00.000Z,4ff9378d7a1fcdb79df4ff0cc205611c,1672444800000.0,4ff9378d7a1fcdb79df4ff0cc205611c/daily/1672444800000.json,,,,,,,,
2022-12-31 02:10:00,1672481400000,66.2,52,29.336,29.336,61.5,68.0,160.0,153.0,11.6,10.3,23.5,30.4,0.0,1.07,0.0,2.22,3.79,3.79,0.0,0.0,61.3,69,61.5,50.84,61.3,51.0,66.2,48.0,2022-12-31T01:32:00.000Z,4ff9378d7a1fcdb79df4ff0cc205611c,1672444800000.0,4ff9378d7a1fcdb79df4ff0cc205611c/daily/1672444800000.json,,,,,,,,
2022-12-31 02:15:00,1672481700000,66.2,51,29.342,29.342,61.5,68.0,149.0,152.0,18.6,10.7,25.1,30.4,0.0,1.07,0.0,2.22,3.79,3.79,0.0,0.0,61.5,69,61.5,50.84,61.5,51.2,66.2,47.5,2022-12-31T01:32:00.000Z,4ff9378d7a1fcdb79df4ff0cc205611c,1672444800000.0,4ff9378d7a1fcdb79df4ff0cc205611c/daily/1672444800000.json,,,,,,,,
2022-12-31 02:20:00,1672482000000,66.2,52,29.336,29.336,61.7,67.0,168.0,152.0,4.7,14.1,27.1,30.6,0.0,1.07,0.0,2.22,3.79,3.79,0.0,0.0,61.5,68,61.7,50.63,61.5,50.8,66.2,48.0,2022-12-31T01:32:00.000Z,4ff9378d7a1fcdb79df4ff0cc205611c,1672444800000.0,4ff9378d7a1fcdb79df4ff0cc205611c/daily/1672444800000.json,,,,,,,,
2022-12-31 02:25:00,1672482300000,66.2,51,29.336,29.336,61.9,67.0,189.0,152.0,7.8,8.9,13.9,30.6,0.0,1.07,0.0,2.22,3.79,3.79,0.0,0.0,61.7,67,61.9,50.82,61.7,50.6,66.2,47.5,2022-12-31T01:32:00.000Z,4ff9378d7a1fcdb79df4ff0cc205611c,1672444800000.0,4ff9378d7a1fcdb79df4ff0cc205611c/daily/1672444800000.json,,,,,,,,
2022-12-31 02:30:00,1672482600000,66.2,52,29.345,29.345,60.8,71.0,143.0,152.0,8.3,7.8,11.9,30.6,0.0,1.07,0.0,2.22,3.79,3.79,0.0,0.0,61.5,69,60.8,51.33,61.5,51.2,66.2,48.0,2022-12-31T01:32:00.000Z,4ff9378d7a1fcdb79df4ff0cc205611c,1672444800000.0,4ff9378d7a1fcdb79df4ff0cc205611c/daily/1672444800000.json,,,,,,,,
2022-12-31 02:35:00,1672482900000,66.2,52,29.339,29.339,61.0,69.0,159.0,143.0,2.9,5.1,7.2,30.6,0.0,1.07,0.0,2.22,3.79,3.79,0.0,0.0,61.2,69,61.0,50.75,61.2,50.9,66.2,48.0,2022-12-31T01:32:00.000Z,4ff9378d7a1fcdb79df4ff0cc205611c,1672444800000.0,4ff9378d7a1fcdb79df4ff0cc205611c/daily/1672444800000.json,,,,,,,,
2022-12-31 02:40:00,1672483200000,66.2,52,29.342,29.342,60.3,72.0,120.0,120.0,3.1,2.9,4.9,30.6,0.0,1.07,0.0,2.22,3.79,3.79,0.0,0.0,61.2,69,60.3,51.23,61.2,50.9,66.2,48.0,2022-12-31T01:32:00.000Z,4ff9378d7a1fcdb79df4ff0cc205611c,1672444800000.0,4ff9378d7a1fcdb79df4ff0cc205611c/daily/1672444800000.json,,,,,,,,
2022-12-31 02:45:00,1672483500000,66.2,52,29.339,29.339,60.3,71.0,240.0,142.0,0.0,2.2,1.8,30.6,0.0,1.07,0.0,2.22,3.79,3.79,0.0,0.0,60.8,70,60.3,50.85,60.8,51.0,66.2,48.0,2022-12-31T01:32:00.000Z,4ff9378d7a1fcdb79df4ff0cc205611c,1672444800000.0,4ff9378d7a1fcdb79df4ff0cc205611c/daily/1672444800000.json,,,,,,,,
2022-12-31 02:50:00,1672483800000,66.2,52,29.348,29.348,58.6,77.0,142.0,193.0,0.0,0.0,1.8,30.6,0.0,1.07,0.0,2.22,3.79,3.79,0.0,0.0,60.6,71,58.6,51.41,60.6,51.1,66.2,48.0,2022-12-31T01:32:00.000Z,4ff9378d7a1fcdb79df4ff0cc205611c,1672444800000.0,4ff9378d7a1fcdb79df4ff0cc205611c/daily/1672444800000.json,,,,,,,,
2022-12-31 02:55:00,1672484100000,66.2,52,29.345,29.345,57.6,79.0,253.0,113.0,2.2,0.0,4.5,30.6,0.0,1.07,0.0,2.22,3.79,3.79,0.0,0.0,60.3,73,57.6,51.13,60.3,51.6,66.2,48.0,2022-12-31T01:32:00.000Z,4ff9378d7a1fcdb79df4ff0cc205611c,1672444800000.0,4ff9378d7a1fcdb79df4ff0cc205611c/daily/1672444800000.json,,,,,,,,
2022-12-31 03:00:00,1672484400000,66.2,52,29.345,29.345,58.3,78.0,62.0,93.0,3.8,1.3,4.7,30.6,0.0,1.07,0.0,2.22,3.79,3.79,0.0,0.0,60.1,73,58.3,51.47,60.1,51.4,66.2,48.0,2022-12-31T01:32:00.000Z,4ff9378d7a1fcdb79df4ff0cc205611c,1672444800000.0,4ff9378d7a1fcdb79df4ff0cc205611c/daily/1672444800000.json,,,,,,,,
2022-12-31 03:05:00,1672484700000,66.2,52,29.348,29.348,58.8,76.0,98.0,89.0,3.6,1.8,5.8,30.6,0.0,1.07,0.0,2.22,3.79,3.79,0.0,0.0,59.9,74,58.8,51.25,59.9,51.6,66.2,48.0,2022-12-31T01:32:00.000Z,4ff9378d7a1fcdb79df4ff0cc205611c,1672444800000.0,4ff9378d7a1fcdb79df4ff0cc205611c/daily/1672444800000.json,,,,,,,,
2022-12-31 03:10:00,1672485000000,66.0,52,29.348,29.348,59.5,75.0,199.0,207.0,2.5,2.0,7.4,30.6,0.0,1.07,0.0,2.22,3.79,3.79,0.0,0.0,59.9,74,59.5,51.57,59.9,51.6,66.0,47.9,2022-12-31T01:32:00.000Z,4ff9378d7a1fcdb79df4ff0cc205611c,1672444800000.0,4ff9378d7a1fcdb79df4ff0cc205611c/daily/1672444800000.json,,,,,,,,
